Armazem;Deposito;         ;Produto;Descricao;Unidade;Saldo Anterior;Entradas;Saidas;Saldo Atual;Transito;Disponivel;Inventario;Diferenca;Diferenca Congelamento;Trans_Ant;Trans_Ant_nao_carregado;Trans_Dia_nao_carregado;Comodato OP03;Venda Vas OP85;Valorizacao;Sinal;               ;               ;               ;               ;               ;Saldo Unitário ;               ;               ;               ;               ;               ;               ;               ;Sub-Depósitos  ;Saldo Atual Real;Saldo Grade Real
01;20;000;00003733;BOHEMIA NOVA EMBALAGEM 600ML                 ;Dz  ;          1/03 ;          0/00;          0/00;          1/03 ;          0/00 ;          1/03 ;          0/00 ;          1/03-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000054,7375000;-;  ;     ;                   ;                   ;                   ; 00000000015;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          1/03 ;          1/03 
01;20;000;00004141;PATAGONIA AMB LAG NACIONAL LT SLEEK 350ML C 8;cx  ;         13/00 ;          0/00;          0/00;         13/00 ;          0/00 ;         13/00 ;          0/00 ;         13/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000207,8700000;-;  ;     ;                   ;                   ;                   ; 00000000104;            ;                   ;                   ;                   ;                   ;                   ;                   ;         14/00 ;          1/00-;          1/00-
01;20;000;00004143;PATAGONIA BOH PILS NACIONAL LT SLEEK 350ML C ;cx  ;          1/00 ;          0/00;          0/00;          1/00 ;          0/00 ;          1/00 ;          0/00 ;          1/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000017,2200000;-;  ;     ;                   ;                   ;                   ; 00000000008;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          1/00 ;          1/00 
01;20;000;00004193;PATAGONIA WEISSE NACIONAL LT SLEEK 350ML C 8 ;cx  ;          4/01 ;          0/00;          0/00;          4/01 ;          0/00 ;          4/01 ;          0/00 ;          4/01-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000078,1687500;-;  ;     ;                   ;                   ;                   ; 00000000033;            ;                   ;                   ;                   ;                   ;                   ;                   ;          4/00 ;          0/01 ;          0/01 
01;20;000;00004198;PATAGONIA IPA LT SLEEK 350ML C 8 CX CARTAO   ;cx  ;         10/07 ;          0/00;          0/00;         10/07 ;          0/00 ;         10/07 ;          0/00 ;         10/07-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000215,7600000;-;  ;     ;                   ;                   ;                   ; 00000000087;            ;                   ;                   ;                   ;                   ;                   ;                   ;          9/00 ;          1/07 ;          1/07 
01;20;000;00004247;MINALBA AGUA MINERAL C/GAS GFA PET 1,5L FD C/;cx  ;          2/00 ;          0/00;          0/00;          2/00 ;          0/00 ;          2/00 ;          0/00 ;          2/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000032,4800000;-;  ;     ;                   ;                   ;                   ; 00000000012;            ;                   ;                   ;                   ;                   ;                   ;                   ;          2/00 ;          0/00 ;          0/00 
01;20;000;00004249;MINALBA AGUA MINERAL S/GAS GFA PET 1,5L FD C/;cx  ;        106/00 ;          0/00;          0/00;        106/00 ;          0/00 ;        106/00 ;          0/00 ;        106/00-;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000001530,6400002;-;  ;     ;                   ;                   ;                   ; 00000000636;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;        106/00 ;        106/00 
01;20;000;00004262;MICHELOB ULTRA N LT SLEEK 350ML C 8 CX CARTAO;cx  ;      5.849/02 ;          0/00;          0/00;      5.849/02 ;        391/00 ;      5.458/02 ;          0/00 ;      5.458/02-;          0/00 ;        120/00 ;          0/00 ;        280/00 ;          0/00 ;          0/00 ;00000072813,0550000;-;  ;     ;                   ;                   ;                   ; 00000043666;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      5.849/02 ;      5.458/02 
01;20;000;00004293;PEPSI BLACK PET 200ML SH C/12                ;cx  ;      1.590/09 ;          0/00;          0/00;      1.590/09 ;        360/00 ;      1.230/09 ;          0/00 ;      1.230/09-;          0/00 ;          0/00 ;          0/00 ;        330/00 ;          0/00 ;          0/00 ;00000007950,6449950;-;  ;     ;                   ;                   ;                   ; 00000014769;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;      1.590/09 ;      1.230/09 
01;20;000;00004345;INDAIA AGUA MINERAL S/GAS GFA PET 5L         ;un  ;          2/00-;          0/00;          0/00;          2/00-;          0/00 ;          2/00-;          0/00 ;          2/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;          0/00 ;00000000015,9600000; ;  ;     ;                   ;                   ;                   ;-00000000002;            ;                   ;                   ;                   ;                   ;                   ;                   ;          0/00 ;          2/00-;          2/00-
